feature,iv
PREV_APPROVED_COUNT,0.014462908558318418
POS_CNT_INSTALMENT_FUTURE_MEAN,0.014381011261289628
PREV_RATE_INTEREST_PRIVILEGED_MIN,0.01436548256821343
PREV_SELLERPLACE_AREA_SUM,0.014257931979113219
DEF_30_CNT_SOCIAL_CIRCLE,0.014004862075637885
BUREAU_BB_DPD_RATE_SUM,0.01390839180345132
PREV_AMT_ANNUITY_MAX,0.013850394214480071
POS_SK_DPD_MEAN,0.013827831725329755
PREV_AMT_APPLICATION_MEAN,0.013809933494980796
BUREAU_AMT_CREDIT_SUM_MEAN,0.013676893366161595
LIVE_CITY_NOT_WORK_CITY,0.013667791040191236
PREV_CNT_PAYMENT_SUM,0.01354755768634716
BUREAU_AMT_ANNUITY_MIN,0.01340693374265513
PREV_RATE_INTEREST_PRIVILEGED_MEAN,0.013348299884326714
COMMONAREA_MEDI,0.01334424146368688
POS_POS_IS_DPD_MAX,0.013277525076149661
DEF_60_CNT_SOCIAL_CIRCLE,0.013198903067662358
YEARS_BUILD_MODE,0.013033285481074772
YEARS_BEGINEXPLUATATION_MODE,0.012955097605982041
YEARS_BEGINEXPLUATATION_MEDI,0.012874394405347999
BUREAU_AMT_CREDIT_SUM_MAX,0.012646590670047588
PREV_AMT_GOODS_PRICE_MAX,0.012642866349896269
YEARS_BEGINEXPLUATATION_AVG,0.01261542308177862
POS_CNT_INSTALMENT_MEAN,0.012354975212392004
BUREAU_BUREAU_IS_OVERDUE_MAX,0.012312941842109338
PREV_HOUR_APPR_PROCESS_START_MAX,0.012259212326568448
PREV_RATE_INTEREST_PRIVILEGED_MAX,0.012247734516691547
INST_DAYS_ENTRY_PAYMENT_MAX,0.012244114407418683
AMT_INCOME_TOTAL,0.012211693486927286
YEARS_BUILD_MEDI,0.01220089503456134
PREV_AMT_APPLICATION_MAX,0.012066643474625013
FLAG_DOCUMENT_6,0.012037284408091308
EXT_SOURCE_NULL_COUNT,0.011909875476445151
YEARS_BUILD_AVG,0.011836669624312714
PREV_AMT_CREDIT_MAX,0.011454583263530299
CC_SK_DPD_MEAN,0.011438615218784146
PREV_DAYS_LAST_DUE_1ST_VERSION_MAX,0.011196460486866093
CC_MONTHS_BALANCE_MAX,0.011194288836175419
ENTRANCES_AVG,0.011046266105097947
PREV_AMT_APPLICATION_MIN,0.010878645196444959
PREV_AMT_DOWN_PAYMENT_MIN,0.010794902215522253
HOUR_APPR_PROCESS_START,0.010725743775155255
PREV_AMT_CREDIT_MIN,0.01062517832076421
PREV_DAYS_DECISION_SUM,0.010591422530826821
PREV_AMT_GOODS_PRICE_MEAN,0.010554486516087435
PREV_DAYS_DECISION_MAX,0.010528068059062066
PREV_AMT_ANNUITY_SUM,0.010408400422447717
CREDIT_INCOME_RATIO,0.010246879299592213
ENTRANCES_MEDI,0.010229034643360184
BUREAU_DAYS_ENDDATE_FACT_MAX,0.010130447638944662
FLAG_WORK_PHONE,0.01006182526421304
CC_SK_DPD_MAX,0.009961225928572811
CC_SK_DPD_DEF_MAX,0.009786650197952098
BUREAU_AMT_CREDIT_SUM_MIN,0.009740797350715022
PREV_AMT_GOODS_PRICE_SUM,0.00965500367094244
PREV_AMT_APPLICATION_SUM,0.009640210554790352
PREV_AMT_CREDIT_MEAN,0.009451978800562907
POS_CNT_INSTALMENT_MAX,0.009399768770075697
POS_CNT_INSTALMENT_FUTURE_MAX,0.009284932031689754
BASEMENTAREA_AVG,0.008968384402561503
BASEMENTAREA_MEDI,0.00872751082833807
INST_NUM_INSTALMENT_NUMBER_MEAN,0.008676099866347169
PREV_AMT_CREDIT_SUM,0.008411965824753617
INST_NUM_INSTALMENT_NUMBER_MAX,0.008403667334266998
BUREAU_AMT_CREDIT_SUM_SUM,0.00832150087220888
ENTRANCES_MODE,0.00804287247618554
FLAG_PHONE,0.007857344498879617
POS_SK_DPD_MAX,0.007285926029972921
PREV_DAYS_FIRST_DUE_MAX,0.007209236309997426
PREV_PREV_CREDIT_APP_RATIO_SUM,0.007033606384756105
COMMONAREA_MODE,0.006891680462767821
INST_COUNT,0.00683776146118495
PREV_NFLAG_LAST_APPL_IN_DAY_SUM,0.006663542531826566
BASEMENTAREA_MODE,0.006544501722016252
POS_SK_ID_PREV_MAX,0.006490570540629153
PREV_APP_COUNT,0.006460579594844924
PREV_SK_ID_PREV_SUM,0.006366899899259128
INST_SK_ID_PREV_SUM,0.006340005237702187
POS_MONTHS_BALANCE_MAX,0.0060310477325355655
INST_NUM_INSTALMENT_VERSION_MAX,0.0059826556618083285
ANNUITY_INCOME_RATIO,0.005959558122935118
CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN,0.005880193264690449
AMT_REQ_CREDIT_BUREAU_QRT,0.005439152555778554
PREV_RATE_DOWN_PAYMENT_MIN,0.0050518231558606816
INST_NUM_INSTALMENT_NUMBER_SUM,0.0050475002780267005
AMT_REQ_CREDIT_BUREAU_YEAR,0.005007587957026305
PREV_HOUR_APPR_PROCESS_START_SUM,0.00481421051702347
BUREAU_AMT_ANNUITY_SUM,0.004810138341028308
LANDAREA_MODE,0.004532305715326414
PREV_PREV_ANNUITY_CREDIT_RATIO_SUM,0.004442107465720323
POS_SK_ID_PREV_MEAN,0.004252290882601732
LANDAREA_AVG,0.004230933788569551
BUREAU_BB_MONTHS_COUNT_SUM,0.004229528974182747
INST_SK_ID_PREV_MAX,0.004187311365410642
INCOME_PER_FAMILY_MEMBER,0.004134083694410718
LANDAREA_MEDI,0.004094966786252491
BUREAU_SK_ID_BUREAU_SUM,0.0038480548686185214
INST_DAYS_INSTALMENT_MAX,0.0037299936547381457
PREV_SELLERPLACE_AREA_MIN,0.003470142441898371
CNT_FAM_MEMBERS,0.0032298960901916756
NONLIVINGAREA_AVG,0.003196483843279321
CHILDREN_RATIO,0.0031312869883079815
CC_AMT_CREDIT_LIMIT_ACTUAL_MAX,0.0030572349106832613
CC_DPD_RATE,0.002993334749313938
CC_CC_IS_DPD_MEAN,0.002993334749313938
BUREAU_SK_ID_BUREAU_MEAN,0.002986906613720557
BUREAU_SK_ID_BUREAU_MAX,0.0029107345576351693
INST_SK_ID_PREV_MEAN,0.0029090649273501266
NONLIVINGAREA_MEDI,0.0026906123858533547
BUREAU_LOAN_COUNT,0.0026070590748989387
BUREAU_DISTINCT_CREDIT_TYPES,0.002556956110448239
PREV_NFLAG_INSURED_ON_APPROVAL_SUM,0.002518014532220193
BUREAU_SK_ID_BUREAU_MIN,0.0024941233907074603
PREV_DAYS_LAST_DUE_MAX,0.0024753901866648737
PREV_SK_ID_PREV_MAX,0.002471163943907883
NONLIVINGAREA_MODE,0.0024385047699541588
CC_SK_ID_PREV_MAX,0.0024347992873625093
FLAG_DOCUMENT_13,0.0023832207104611744
FLAG_DOCUMENT_16,0.002223881340553248
CC_SK_ID_PREV_MEAN,0.002209562517862916
PREV_NFLAG_INSURED_ON_APPROVAL_MIN,0.0019577517703087705
PREV_CNT_PAYMENT_MIN,0.001944404147493373
BUREAU_AMT_CREDIT_SUM_LIMIT_MIN,0.0018649448013663024
PREV_NFLAG_INSURED_ON_APPROVAL_MEAN,0.0017272362705272942
BUREAU_CNT_CREDIT_PROLONG_SUM,0.0017156918875570076
OBS_30_CNT_SOCIAL_CIRCLE,0.0016302687318130909
BUREAU_CNT_CREDIT_PROLONG_MAX,0.0015817643177034892
AMT_REQ_CREDIT_BUREAU_MON,0.001577266328677356
OBS_60_CNT_SOCIAL_CIRCLE,0.001568518687962597
FLAG_DOCUMENT_14,0.0013758184087360043
PREV_SK_ID_PREV_MEAN,0.0013372934669701217
CNT_CHILDREN,0.0012717630314135182
FLAG_DOCUMENT_8,0.0012464017920108897
NONLIVINGAPARTMENTS_AVG,0.0010405656340802504
PREV_NFLAG_INSURED_ON_APPROVAL_MAX,0.000943399550913983
NONLIVINGAPARTMENTS_MEDI,0.0008962850895009407
BUREAU_BUREAU_IS_OVERDUE_MIN,0.0008909535378909581
FLAG_DOCUMENT_15,0.0007699875670802633
AMT_REQ_CREDIT_BUREAU_DAY,0.0006746010599334543
FLAG_DOCUMENT_18,0.0006586108900802656
PREV_SK_ID_PREV_MIN,0.0006070386508580074
PREV_DAYS_TERMINATION_MAX,0.0005703893091470141
REG_REGION_NOT_WORK_REGION,0.0005035552035322735
NONLIVINGAPARTMENTS_MODE,0.00046894871274285704
FLAG_DOCUMENT_9,0.0004119622942890774
FLAG_DOCUMENT_21,0.00037688940167525094
REG_REGION_NOT_LIVE_REGION,0.00027773462198706636
PREV_NFLAG_LAST_APPL_IN_DAY_MIN,0.00027428836414386814
AMT_REQ_CREDIT_BUREAU_WEEK,0.00026183720785408795
FLAG_DOCUMENT_11,0.00026023222728482263
FLAG_DOCUMENT_2,0.00024485373224066985
FLAG_DOCUMENT_17,0.000238356480510531
BUREAU_CNT_CREDIT_PROLONG_MIN,0.00023323479063480082
PREV_PREV_IS_REFUSED_MIN,0.00019826026607623268
CC_CC_IS_DPD_MAX,0.0001843119985355561
AMT_REQ_CREDIT_BUREAU_HOUR,0.00010333436965291842
PREV_DAYS_FIRST_DRAWING_MIN,9.910240262897701e-05
CC_SK_DPD_DEF_MEAN,8.831346876419976e-05
FLAG_DOCUMENT_4,8.59013152263162e-05
FLAG_CONT_MOBILE,6.907185803156271e-05
PREV_PREV_IS_APPROVED_MAX,6.439077539902152e-05
LIVE_REGION_NOT_WORK_REGION,5.750523273023461e-05
FLAG_DOCUMENT_19,3.771376628261089e-05
FLAG_DOCUMENT_12,2.8266962847270125e-05
FLAG_MOBIL,2.8266962847270125e-05
FLAG_DOCUMENT_20,1.4957544762021728e-05
PREV_NFLAG_LAST_APPL_IN_DAY_MAX,1.4857867951228688e-05
FLAG_EMAIL,8.258843918235298e-06
FLAG_DOCUMENT_7,5.577913295381476e-06
FLAG_DOCUMENT_5,1.66558609792502e-06
FLAG_DOCUMENT_10,1.418762585891263e-06
PREV_NFLAG_LAST_APPL_IN_DAY_MEAN,0.0
PREV_RATE_INTEREST_PRIVILEGED_SUM,0.0
PREV_RATE_INTEREST_PRIMARY_SUM,0.0
PREV_DAYS_FIRST_DRAWING_MAX,0.0
BUREAU_CNT_CREDIT_PROLONG_MEAN,0.0
BUREAU_AMT_CREDIT_MAX_OVERDUE_MIN,0.0
BUREAU_AMT_CREDIT_SUM_OVERDUE_SUM,0.0
BUREAU_AMT_CREDIT_SUM_OVERDUE_MIN,0.0
BUREAU_BUREAU_IS_OVERDUE_MEAN,0.0
BUREAU_BB_DPD_RATE_MIN,0.0
BUREAU_AMT_CREDIT_SUM_OVERDUE_MEAN,0.0
BUREAU_AMT_CREDIT_SUM_OVERDUE_MAX,0.0
CC_CNT_DRAWINGS_OTHER_CURRENT_MEAN,0.0
CC_CNT_DRAWINGS_OTHER_CURRENT_MAX,0.0
BUREAU_CREDIT_DAY_OVERDUE_MEAN,0.0
BUREAU_CREDIT_DAY_OVERDUE_MAX,0.0
BUREAU_CREDIT_DAY_OVERDUE_MIN,0.0
BUREAU_CREDIT_DAY_OVERDUE_SUM,0.0
CC_AMT_DRAWINGS_OTHER_CURRENT_MEAN,0.0
CC_AMT_DRAWINGS_OTHER_CURRENT_MAX,0.0
